#,Module,คำถาม (ลูกค้าแจ้ง),คำตอบ (มาตรฐาน)
626,ห้องพยาบาล,ขอสอบถามค่ะ ใบ med reconcile ชื่อแพทย์สั่งใช้ด้านล่างใบ สามารถเพิ่มเป็นลายเซ็นต์แพทย์ด้วยได้มั้ยคะ,ส่วนนี้จะยังไม่สามารถเพิ่มได้นะคะ เนื่องจากส่วนนี้เป็นฟอร์มเอกสารส่วนกลางค่ะ
627,ห้องพยาบาล,จาก4/5 ค่ะ จะรบกวนลบ order นี้ออกให้ค่ะ พอดี รับ รคส ยังพิมไม่ครบค่ะ,เลือกใบออเดอร์ที่ต้องการยกเลิก ระบบจะยกเลิกเพียงออเดอร์ใบที่ต้องการยกเลิกนะคะ
628,ห้องพยาบาล,ไม่มี order ขึ้นเลยค่ะ,นำเข้าแล้วใช่ไหมคะ
629,ห้องพยาบาล,รบกวนค้ะสงฆ์ล่าง nurses note คนไข้หายค่ะ,สนี้ย้ายมาจากหอผู้ป่วยหนักนะคะมีข้อมูลอยที่แบบ17ค่ะ แบบที่9ยังไม่มีประวัติการลงข้อมูลนะคะ
630,ห้องพยาบาล,กดยืนยันจ่ายยาไปแล้ว แต่เวลาไม่ถูก อยากแก้เป็น20.00น.แก้อย่างไรค่ะ,จะมีปุ่มแว่นขยายสีฟ้าเมื่อกดเข้าไปแล้วจะมีรายการยาแสดงเลือกรายการและจะมีข้อมูลเช็นยาแสดงสามารถกดลบได้เลยนะคะ
631,ห้องพยาบาล,รับออเดอร์์ยาไม่ไปห้องยา,กดบันทึกใบสั่งยาสีเขียวได้ไหมคะ
632,ห้องพยาบาล,ใบ N/S ขอเพิ่ม ช่องครั้งเป็น 12 ครั้ง ได้ไหมคะ จะได้ครบ 24 ชั่วโมงพอดี,ส่วนนี้จะไม่สามารถเพิ่มช่องได้นะคะ เนื่องจากมีข้อจำกัดด้านการวิวเอกสารข้อมูลค่ะ แต่เอกสารสามารถบันทึกประวัติได้หลายใบค่ะ
633,ห้องพยาบาล,ขออนุญาติค่ะ พอดีรับorder ไปแค่1ครั้ง แต่มียาในcurrent profile รันมา4 ตัวเลย ค่ะ ช่วยลบลำดับอันที่2 3 4หน่อยได้ไหมคะ,"จากการตรสจสอบเป็นรายการที่ add เพิ่มมาที่ใบสั่งยา 3 ใบนะคะ"
634,ห้องพยาบาล,"รบกวนช่วยเช็คให้หน่อยนะคะ
พอดีจะยกเลิก holdยา
แต่พอคลิกไปในบันทึกจ่ายยา เพื่อที่จะลบออก ไม่มีรายการการจ่ายยา",รายการแสดงที่ด้านบนนะคะ เนื่องจากมีรายการยาจำนวนมาก จะต้องเลื่อนดูรายการค่ะ
635,ห้องพยาบาล,รับ order ไม่ได้เกิดจากอะไรคะ ใส่รหัสถูก,รับ order ไม่ได้เกิดจากอะไรคะ ใส่รหัสถูก
636,ห้องพยาบาล,ลิงค์มาจากเอกสารไหนไม๊คะ เพราะเอกสารหมายเลข 3 ไม่ได้ใช้คะ,หากไม่ได้ใช้ส่วนนี้สามารถให้เจ้าหน้าที่ไอทีรพ.ปิดเอกสารได้เลยนะคะ
637,ห้องพยาบาล,"ยังไงนะครับ 
จะสั่ง order D/C มันเพิ่มไม่ได้ครับ",จะต้องเพิ่มที่หน้าการทำงาน ในส่วน ห้องทำงานแพทย์นะคะ
638,ห้องพยาบาล,สามารถดู order case ที่ Dischargeออกไปแล้วได้ไหมคะ,สามารถดูได้ค่ะ ค้นหา ชื่อ/hn/an ผู้ป่วยได้ค่ะที่หน้าพยาบาลติ๊กผู้ป่วยจำหน่ายค่ะ
639,ห้องพยาบาล,สอบถามค่ะ คนไข้แอดมิดจากER case paperless แต่พอมาถึงICU ดึงคนไข้เข้าระบบแล้วไม่มีออเดอร์ขึ้น ไม่มีlogo neo ขึ้นหน้าชื่อ แก้ไขยังไงคะ,กรณีที่ไม่มีใบออเดอร์ขึ้นให้ดัลเบิ้ลคลิกเลือกชื่อผู้ป่วยที่ต้องการค่ะและกดนำเข้าข้อมูลล่วงหน้าค่ะ
640,ห้องพยาบาล,พอดีเคสนี้จะต้องบันทึก vital signs ทุก 15นาที เพราะ on dopa แล้วเราอยากให้มีบันทึกในส่วนของ dopa ด้วยอ่ะค่ะ,สามารถบันทึกที่ตัวเอกสารได้นะคะปุ่มส้มข้างปุ่มลงฟอร์มปรอทค่ะ
641,ห้องพยาบาล,สอบถามค่า ยาตัวนี้ ยาเวลาaddชาร์ตตอน11น.มันไม่ขึ้มมาหลายวันแล้วค่ะ ทั้งที่ไม่ได้off,ทีมหาสาเหตุเพิ่มเติมนะคะ ส่วนนี้เจ้าหน้าที่สามารถกด add chart ได้เลยค่ะ
642,ห้องพยาบาล,รับ order แล้ว แต่ไม่สามารถรันยาได,เลือกรายการนี้แล้วกดนำออกได้ไหมคะ
643,ห้องพยาบาล,บันทึกคำสั่งล่วงหน้าไม่ได้ค่ะ,กรณีที่สั่งแค่รายการล่วงหน้าต้องมีprogress noteด้วยนะคะ
644,ห้องพยาบาล,สอบถามเรื่อง รคส ยาไม่ได้,แนะนำการใช้งาน
645,ห้องพยาบาล,20.39 || นางรอง || สอบถามเรื่องลบ Order รคส ผิดคน,แนะนำการใช้งาน
646,ห้องพยาบาล,สอบถามเรื่องเอกสารพยาบาล 35 ไม่มีชื่อผู้แนะนำ,แนะนำการใช้งาน
647,ห้องพยาบาล,รบกวนดูรายการนี้ให้ด้วยค่ะ set CXR วันนี้รับ order แล้วแต่ ไม่มี order ไปขึ้นที่ CXR,จากการตรวจสอบรายการมาแสดงที่ฐานข้อมูลรพ.แล้วนะคะ
648,ห้องพยาบาล,การ ลงตรวจร่างกาย NB เกิด ตี 1 แต่เรา ตรวจจริง 9 โมงเช้า ระบบจะ fixed ว่าตรวจตี 1 เลยรึครับบ มัน แก้ได้ไหม เอา เวลาที่ลงตรวจจริงๆๆๆ,"ระบบจะดึงเวลา admit มาก่อนค่ะ กรณีต้องการแก้ไขสามารถแก้ไข ส่วนนี้ก่อนบันทึกได้เลยนะคะ"
649,ห้องพยาบาล,"เคสนี้แอดมิทใน hosxp ด้วยสิทธิ์ พรบ. ซึ่งต้องใช้วงเงิน 30,000 ของ พรบ.ให้หมดก่อนค่าใช้จ่ายถึงจะปัดไปใช้สิทธิ์ที่ 2 ซึ่งเป็น สิทธิ์บัตรทองครับ แต่ทาง ward แจ้งมาว่าใน paperless ขึ้นสิทธิ์บัตรทองหมดเลยซึ่งเป็นสิทธิ์ที่ 2 ครับ ตามกระบวนการของ hosxp ตอนนี้คือจะใช้สิทธิ์ พรบ.ก่อนครับ",แจ้งพี่โด่งโทรอธิบายการใช้งาน
650,ห้องพยาบาล,รบกวนตรวจสอบ order จำหน่าย caseนี้หน่อยค่ะ orderหายไป,จากการตรวจสอบที่ฐานข้อมูล ไม่มีรายการออเดอร์นะคะ
651,ห้องพยาบาล,บริหารยา metforminไม่ได้ค่ะ,นำติ๊กแสดงบนใบมาร์ออกทำใ้ไม่พบ
652,ห้องพยาบาล,ขออนุญาติสอบถามค่อ ในส่วนของใบ Mar กับ oder ไม่ตรงกัน สามารถแก้ได้ไหม,ใบมาร์ตรวจสอบได้ที่ส่วนนี้ สามารถแก้ไขได้
653,ห้องพยาบาล,บริหารยาไม่ได้,มีค่าว่างที่ส่วนนี้นะ
654,ห้องพยาบาล,ขอแยกยาวัน day กับ ยา Homemed,มีแต่รายการยา นอกนะ
655,ห้องพยาบาล,จะเพิ่ม user พยาบาล 1 ท่าน ใช้เมนูไหน,หากมีเพิ่มจากhosxp แล้วสามารถนำเข้า use ได้เลย
656,ห้องพยาบาล,"ขอสอบถาม กรณีมีเคสผ่าตัดคนเดิมสองรอบ หรืออาจจะมากกว่านั้น มีการใช้ฟอร์มเดิมทุกรอบ แต่จะเปลี่ยนแค่วันที่ พบว่าฟอร์ม67 มีข้อมูลโชว์รอบการผ่าตัดชัดเจน
แต่ฟอร์มอื่นๆที่เป็นแผ่นเดียว ไม่มีข้อมูลแสดงการผ่าตัดรอบก่อนๆ ไม่ทราบว่าหากเป็นแบบนี้ข้อมูลเดิมที่มีการผ่าตัดจะหายไปไหม",ข้อมูลที่ถูกบันทึกจะแสดงตามประวัติส่วนนี้ หน้าการทำงานนี้จะเป็นหัวข้อ
657,ห้องพยาบาล,สอบถามถ้าลืมรับorderแล้วมากดรับทีหลีงสามารถเปลี่ยนวันที่ได้ใหม,ในปุ่มรับออเดอร์จะมีชื่อวันที่เวลารับออเดอร์อยู่และมีปุ่มแก้ไข
658,ห้องพยาบาล,รายการยา ไม่ขึ้นในใบmar,แก้ไขให้แล้วนะ ติ๊กจ่ายยาวันพุทธเอาไว้
659,ห้องพยาบาล,ดู AN 680014578,บริหารยาที่หน้า current ก่อนได้ไหม
660,ห้องพยาบาล,ไม่สามารถกดรับ order ยาได้ ต้องกดตรงไหน,รายการยา mr ไม่มีวันที่นะ
661,ห้องพยาบาล,สอบถามจากห้องยา ดูใบ DUE ย้อนหลังจากหน้านี้ใช่ไหม,ส่วนนี้
662,ห้องพยาบาล,ระหว่างหยุดระบบ ผมวิธีการส่ง consult และ ตอบใบ consult Rehab หน่อย,ส่วนนี้มีอยู่นะ
663,ห้องพยาบาล,ลบค่าผ่าตัดออก 1รายการ,หากเป็นรายการ ATO จะต้องเป็นเจ้าหน้าที่ ที่มีสิทธิลบ ถึงจะสามารถลบได้นะ
664,ห้องพยาบาล,ขออนุญาต เซ็นใบให้ยาไม่ได้ มันขึ้นเป็นเซ็นแล้วทั้งหมดทุกเวลาของวันที่ 9/10/68,มีการเซ็นยาไว้แล้ว หากต้องการลบจะต้องเข้าที่แว่นขยายแล้วสามารถลบได้เลยนะ แต่จะต้องเป็น user ที่เซ็นยาก่อนหน้า
665,ห้องพยาบาล,คนไข้ on warfarin แต่สั่งมะขามป้อม สรุประบบ pop up ไม่สามารถใช้ได้ใช่ไหม,มีติ๊กห้ามสั่งใช้ แต่ไม่ได้ติ๊กตรวจสอบกับใบสั่งยาย้อนหลังทำให้สั่งยาได้
666,ห้องพยาบาล,สวัสดี ถ้าต้องการให้มีเสียงแจ้งเตือนเมื่อมี order เข้าต้องทำอย่างไร,หมายถึงหน้าห้องยาใช่ไหม หากเป็นหน้าห้องพยาบาลจะมีเพียงแฟ้มสีน้ำเงิน จะไม่มีเสียงแจ้งเตือน
667,ห้องพยาบาล,แก้ไข User Ac. เป็นศุภลักษณ์ รัตนอนงค์,สามารถแก้ไขที่ส่วนนี้ได้เลยนะ เลือก chang profile
668,ห้องพยาบาล,แอดมิน มีวิธีหรือสามารถลิ้งค์ ผลlab มาที่เอกสาร 20 นี้ได้ไหม คือต้องมาพิมพ์เองตลอดเลย โดยเฉพาะผลเพาะเชื้อ,ตอนนี้ยังไม่สามารถลิงค์ได้นะ
669,ห้องพยาบาล,แก้ไขหน่อย สัญลักษ รับ order ไม่แสเดง,มีการรับออเดอร์วันที่ 3/11/68 นะทำให้แฟ้มไม่แสดง
670,ห้องพยาบาล,กดรับคำสั่งแพทย์ไม่ได้,มีเจ้าหน้าที่ท่านอื่นเข้ารับอยู่นะ หากเอาเมาท์ไปชี้จะแสดงชื่อเจ้าหน้าที่ ที่เข้าอยู่
671,ห้องพยาบาล,ขอสอบถามเวลาคลอด สามารถลงตรงช่องเวลาในฟอร์มที่คลอดได้ไหม เช่น คลอด 01.12 น. แต่ในฟอร์มปรอท ไปขึ้นในช่องเวลา 18.00 น.ค่ั,จากการตรวจสอบส่วนนี้จะไม่แสดงตามเวลาที่ลงนะ
672,ห้องพยาบาล,มันไม่ให้กดรับ,แก้ไขเรียบร้อย
673,ห้องพยาบาล,ปกติสั่ง LAB ใน Neo แล้วมันจะไปโผล่ใน LIS ไหม,ไปแสดง
674,ห้องพยาบาล,สอบถามตั้งค่าปริ้นยังไงให้ได้หลายวันในใบนี้ แผ่นนี้ได้แค่วันเดียว,ทำตามขั้นตอนนี้ได้เลยนะ
675,ห้องพยาบาล,ขอสอบถามค่า สามารถแก้ preset ที่เขียนเป็น gm ให้เป็น ml ได้ไหม ขอสอบถามค่า สามารถแก้ preset ที่เขียนเป็น gm ให้เป็น ml ได้ไหม,เป็นวิธีใช้ยาใช่ไหม โดยปกติสามารถแก้ไขได้เลยนะ
676,ห้องพยาบาล,Case นี้มีชื่อแพทย์เจ้าของไข้ แต่ใบประเมินภาวะสุขภาพไม่ขึ้นชื่อ,พร้อมแนบคลิปวิดีโอการบันทึกข้อมูล
677,ห้องพยาบาล,V/S คนไข้ก่อนย้าย ลงตรงไหน,แจ้งทางพี่โด่งโทรแนะนำการใช้งานให้เรียบร้อย
678,ห้องพยาบาล,ลง v/s ทุก 5 นาที ลงตรงไหนพร้อมกิจกรรมการพยาบาล ให้อยู่ตรงช่องเดียวกัน,แจ้งทางพี่โด่งโทรแนะนำการใช้งานให้เรียบร้อย
679,ห้องพยาบาล,พี่ Neo แก้ไข วันที่รับ Order เป็นวันที่ 11/11/68 เวลา 09 น ค้า,"สามารถแก้ไขที่ส่วนนี้ได้เลยนะ 
รับคำสั่งแพทย์ > edit > บันทึก"
680,ห้องพยาบาล,ช่วยดู ขึ้นแบบนี้แล้ว แต่ห้องยา มองไม่เห็นว่ามีการรับคำสั่ง HN43158/HN119552,แพทย์สั่งรายการยากลับบ้าน รายการยาจะอยู่ที่รายการยากลับบ้านนะะ
681,ห้องพยาบาล,สรุปตอนนี้ ถ้า add chart ของวันนั้นแล้วสามารถ add chart มาอีกได้หรือไม่,แก้ไขเรียบร้อย
682,ห้องพยาบาล,รคส คำสั่งแพทย์ labล่วงหน้า เปลี่ยนเวลาเป็น6.00น.แล้วแต่เวลาตอนพยาบาลจะกดรับออเด้อขึ้นเปนเวลาที่คีย์สั่ง,หากมีรายการก่อนหน้าเป็นวันเวลาเดียวต้องสั่ง ออเดอร์ เป็นเวลา 06:01 นะ
683,ห้องพยาบาล,คุณหมอได้ทำการadmit ในneoHos แต่V/Sไม่ขึ้น,หากลงข้อมูลที่ฟอร์มปอรทแล้วจะแสดงนะ
684,ห้องพยาบาล,ทำไม order ตอนนี้ขึ้นเป็น 20:54 เมื่อวานนะ,มีการเขียนออเดอร์ในใบออเดอร์เดิม ก่อนสั่งออเดอร์จะต้องกด New order ก่อนนะ
685,ห้องพยาบาล,แพทย์แจ้งว่าพิมพ์หา 3%sodium chloride ไม่เจอในระบบ neohos,ทีมทดสอบสั่งยา มีรายการยานะ
686,ห้องพยาบาล,ลบ order นางเนียม ยี่สุนแก้ว เวลา 14.56,หากเป็นรายการที่ยังไม่รับออเดอร์ สามารถยกเลิกรับคำสั่งแพทย์ที่ส่วนนี้ได้เลยนะ
687,ห้องพยาบาล,ลบแลปทั้งสองตัวออกให้ด้วยนะ,สามารถลบรายการที่ส่วนนี้ได้เลยนะ รายการจะแสดงให้รับออเดอร์อีกครั้ง ทีมแก้ไขรายการใบออเดอร์ให้
688,ห้องพยาบาล,ขอด้วย ทำไมคุณหมอ แอดมิด รับแ ดมิดจากHosxp แล้ว ไม่มีข้อมูล ออเดอร์คุณหมอมาเลย,นำเข้าข้อมูลแล้วใช่ไหม
689,ห้องพยาบาล,สามารถกลับไปพิมการตอบกลับได้มั้ย ว่าได้ทำไปแล้ว,เลือกใบออเดอร์ที่ต้องการตอบกลับได้เลยนะ
690,ห้องพยาบาล,สอบถามหน้าการทำงาน Admit ล่วงหน้ามีรายการที่รับ Order แล้ว,แนะนำ
691,ห้องพยาบาล,สอบถามเรื่องแลปAlert สามารถตั้งค่า ให้ได้ตามค่าที่โรงพยาบาลกำหนดได้ไหม,ค่า Lab ส่วนนีั้ทางทีมดึงข้อมูลมาจากฐานข้อมูลของรพ.มาแสดง
692,ห้องพยาบาล,สอบถาม กดเข้าไปที่ MARS แล้วเป็นแบบนี้ แก้ไขยังไง HN 253581,บริหารยาที่หน้า current ก่อนได้ไหม
693,ห้องพยาบาล,สอบถามอันนี้มีใครเก็บรหัสไว้ไหม,แก้ไขเรียบร้อย
694,ห้องพยาบาล,สอนลบรายการที่ order ซ้ำ,รายการนี้เป็นรายการ add chart มานะ
695,ห้องพยาบาล,สอบถามหน่อยค่า รับ order ยากลับบ้านไม่ได้,รายการยา mr ไม่มีวันที่
696,ห้องพยาบาล,"คำสั่งแพทย์วันที่ 14 พ.ย . METFORMIN 850 1x2 po pc ในใบ mar กับ Current ทำไมเป็น 1x3po pc
GLIPIZINE 1x2 po ac ทำไมเป็น 2x2",จากการตรวจสอบมีการแก้ไขวิธีใช้นะ
697,ห้องพยาบาล,เข้าข้อมูลไม่ได้,แก้ไขเรียบร้อย
698,ห้องพยาบาล,แก้เปนวันที่ 15/11/68 ได้ไหม,เป็นรายการใบออเดอร์ Lab ล่วงหน้านะ มีการสั่งออเดอร์เข้าใบออเดอร์ของ Lab ล่วงหน้านะ
699,ห้องพยาบาล,จาก 4 ชั้น1 ลบรายการแลป 4012085 แต่ไม่ลบ order นะ,ทางทีมไม่สามารถลบรายการได้นะ เนื่องจากรายการถูกดึงเข้าระบบห้อง Lab แล้ว
700,ห้องพยาบาล,ลบ order นี้ให้ด้วย ทำผิด,หากยังไม่รับคำสั่งแพทย์รายการยา สามารถยกเลิกที่ส่วนนี้ได้เลยนะ
701,ห้องพยาบาล,"เคสที่ มีทำ I/O มี,ทำสัญลักษณ์,ด้านหน้า ไหม",หากมีการลงข้อมูล I/O จะไม่มีไอคอนแสดงนะ
702,ห้องพยาบาล,แบบฟอร์มที่ 103 ใบประเมินประเภทคนไข้ ปกติเราใช้เป็น เวร ดึก เช้า บ่าย เวลา กลับมาเข้าใหม่ระบบจะเปลี่ยนเป็น เช้า บ่าย ดึก,ส่วนนี้มีตั้งค่าที่ผู้ดูแลระบบนะ
703,ห้องพยาบาล,ตรวจสอบให้ด้วย ทำไมสั่งแลปล่วงหน้า แล้ว ห้องแลปไม่เห็นแลป,เจ้าหน้าที่ยังไม่ได้รับออเดอร์นะ รายการจะไม่ไปที่ห้อง LAb
704,ห้องพยาบาล,จากOR นะ ใน Discharge summary view แล้ว มี Operation และเวลาที่ทำผ่าตัด แต่ในแฟ้มเวชเบียน ไม่ขึ้น คนไข้ชื่อ นายจันดี รุ่งเป้า HN 347622,หากมีการลงบันทึกข้อมูลต้องกดบันทึกแก้ไขด้วยนะ
705,ห้องพยาบาล,กรณีแอดมิด เจ็บครรภ์คลอด แพทย์ Order เป็น One Day ทั้งหมด ทางฝั่งตึกห้องคลอดไม่มีรายงานแจ้งว่ามีออเดอร์ แต่ห้องยาเห็นว่ามียา ในฝั่งของแพทย์ขึ้นหน้าจอว่าไม่มีคนรับออเดอร์ แบบนี้ผิดปกติไหม,ยังไม่มีการนำเข้ามูล
706,ห้องพยาบาล,เคส paperless เคสนี้ พี่พยาบาลรับออเดอร์แล้วแต่รายการยาไม่เด้งในหน้าสั่งยา,ยังไม่ได้รับออเดอร์
707,ห้องพยาบาล,case นี้ labไม่ลิ้งเข้ามา,รายการบันทึกเพิ่มเติมไม่แสดงนะ
708,ห้องพยาบาล,คีย์ เลือดไปจะเซ็นในใบ mar แต่่มันไม่ขึ้นในใบ mar,หากคีย์ ที่หน้าMedication Profile ต้องบันทึกที่หน้าCurrent Profile เพิ่มเติมนะ
709,ห้องพยาบาล,การจำแนกประเภทผู้ป่วย (ตามเกณฑ์ของ Warsler 5 ประเภท) เอกสาร 103 ดึงมาหน้าฟอร์ปรอทอัตโนมัติได้ไหม,ส่วนนี้จะไม่สามารถดึงมาหน้าฟอร์ปรอทอัตโนมัติได้นะ
710,ห้องพยาบาล,กดรับ order ไม่ได้ค่ะ อันนี้ขึ้นตลอดค่ะ,กดตกลงก่อนนะคะ เป็นแจ้งเตือนยา HAD ค่ะ
711,ห้องพยาบาล,รบกวนลบสถานพยาบาลส่ต่อออกให้หน่อยค่ะ,มีลงข้อมูลไว้นะคะสามารภนำข้อมูลส่วนนี้ออกได้เลยนะคะ
712,ห้องพยาบาล,สอบถามค่ะ ขยายช่องตรง HN กับ AN ไม่ได้คะ,"สามารถขยายส่วนนี้ได้เลยนะคะ นำเมาส์วางไว้ให้มีลูกศรขยายแสดง แล้วขยายช่องได้เลยค่ะ
ส่งแก้ ( ส่ง SRS แล้ว )ให้ขยายได้"
713,ห้องพยาบาล,สอบถามค่ะในเคสนี้ ไม่สามารถกดลูกศรเลื่อนดูออเดอได้ค่ะ,กดเลือกแสดงทั้งหมดแล้วสามารถเลือกได้ไหมคะ
714,ห้องพยาบาล,พอดีกด ตรง Home RM แล้วมันไม่ได้อะค่ะ หรือต้องรอพยายาลรับออเดอร์ก่อนคะ พอดีปกติคลินิกธาลัสซีเมียจะทำออเดอร์แอดมิด ละก็รวด D/C ไว้เลยอ่าค่า,หากมีรายการสั่งเพิ่มจะต้องกด New order นะคะเนื่องจากรายการมีการส่งคำสั่งแพทย์แล้วค่ะ
715,ห้องพยาบาล,แลปก็คีย์ไม่ได้ค่ะ,รายการ Lab รบกวนคีย์เป็นรายการ order special ได้ไหมคะ เนื่องจากข้อมูลยังโอนมาไม่ครบค่ะ
716,ห้องพยาบาล,ช่วยอัพเดทตารางนี้ให้หน่อยครับ ใน hosxp เอารายการ CT ออกแล้วนะครับ,ส่งแก้ ( ส่ง SRS แล้ว) ให้จับข้อมูลจาก active_status
717,ห้องพยาบาล,รายการยาไม่เจอ เนื่อวจากไปกดตรงจ่ายยาวันถัดไปต้องแก้ไขยังไงคะ,ติ๊กกดจ่ายวันถัดไปออก รายการยามาแสดงปกติไหมคะ
718,ห้องพยาบาล,เคสนี้แพทย์ Order ตั้งแต่เมื่อวานวันที่ 19 พ.ยเวลาประมาณ 11:00 น แต่วันนี้เวลาเด้งขึ้นเป็นวันที่ 20 8 โมงผู้รับออเดอร์รับ6 ทุ่มกว่า,เนื่องจากมีการเขียนออเดอร์บนใบออเดอร์ Lab ล่วงหน้านะคะ หากแก้ไขใบออเดอร์เป็นวันที่ 19 รายการ Lab จะหายนะคะ ก่อนออเดอร์ทุกครั้งทีมแนะนำให้กด new order ก่อนนะคะ
719,ห้องพยาบาล,ยาทุกวันที่ 1กับ 16 ตั้งอย่างไรค่ะ วัน เว้นวัน ตั้งยังไงค่ะ,ตอนนี้ระบบจะยังไม่มีล็อกวันให้ยาค่ะ ทีมแนะนำสั่งยาในวันที่ 1 และวันที่ 16 นะคะ
720,ห้องพยาบาล,Save ยา cont ไม่ได้ค่ะ Case เดิมค่ะ,หากใส่วันที่ส่วนนี้สามารถรับออเดอร์ได้ไหมคะ
721,ห้องพยาบาล,ถ้าเกิดเหตุการณ์แบบนี้ พยาบาลควรทำอย่างไรได้บ้าง หากไม่ใช่แอดมิน หรือทีม เพื่อสะดวกในการทำงานที่หน้างานค่ะ,หากมีรายการที่ add เพิ่มมาซ้ำแล้วต้องการลบรายการ จะต้องลบที่หน้า current และใบสั่งยา ค่ะ โดนดูจากเลข current plan ให้ตรงกันทั้งในใบสั่งยาและหน้า current ค่ะ กดที่รายการยาเลขจะแสดงค่ะ
722,ห้องพยาบาล,หน้าคำสั่งแพทย์ยังไม่ขึ้นว่ารับ Order ค่ะ แต่ว่าไม่มีแฟ้มสีฟ้าขึ้นให้รับ Order ค่ะ,จากการตรวจสอบมีการรับออเดอร์แล้วนะคะ
723,ห้องพยาบาล,รบกวนสอบถามค่ะ พอดีเคสดีตอนแรกorder ยาไปแล้วแต่ยกเลิกorder แล้วพอดีจะorder ยาอีกรอบส่งคำสั่งแพทย์ไม่ได้ค่ะ Hn :0072261 ค่ะ,หากเปลี่ยนเวลาสั่งเป็น 14.01 สามารถสั่งรายการยาได้ไหมคะ
724,ห้องพยาบาล,เข้าไปลง เนิสโนส ใน นีโอ เซบเรียบร้อยข้อมูลไม่ขึ้นค่ะ เป็นมา 3 เวรแล้วค่ะคนไข้คลอดเมื่อวานนี้ 18.10 ค่า เอกสารห้องคลอด 46,ส่วนนี้มีบันทึกไหมคะ
725,ห้องพยาบาล,จะให้ higt alert drug ไปอยู่ที่หมวดเอกสารการพยาบาล ได้ใหมครับ,จะให้ higt alert drug ไปอยู่ที่หมวดเอกสารการพยาบาล ได้ใหมครับ
726,ห้องพยาบาล,ผู้ป่วย ทำD/C ยาที่เซนต์ไว้วันที่19 ไม่ขึ้นในใบmar แก้ไขอย่างไรคะ,ดูปิดวันที่
727,ห้องพยาบาล,ตอนแรกเราใช้หน้านี้ ไม่ต้องการใช้หน้านี้แล้วลบยังงัยค่ะ RECORD V/S,ต้องการลบเอกสาร
728,ห้องพยาบาล,สวัสดีดีค่ะ พอดีจะลงvital sign แต่กดบันทึกไม่ได้ค่ะ,นำเม้าส์ชี้แสดงข้อความไหมคะ
729,ห้องพยาบาล,"จากตึกบุญประสงค์ จิตเวชครับ 

ถ้าเกิดเราจะอัพโหลดเอกสารเพิ่มเติมเข้าไปในส่วนนี้เราสามารถแก้ไขเพิ่มหมายเลขเข้าไปได้ไหมครับต้องทำอย่างไร",โดยปกติสามารถประสานไอที รพ. เพิ่มเติมได้ที่ส่วนนี้ค่ะ
730,ห้องพยาบาล,ขอสอบถามอีกครั้งค่ะ ว่าเวชภัณที่ไม่ใช่ยาต้องลงตรงไหนคะ,มีลงสั่งได้ที่หน้าใบออเดอร์ และ Medication Profile ค่ะเลือกลงอย่างใดอย่างหนึ่งป้องกันการคีย์ซ้ำค่ะ
731,ห้องพยาบาล,ลบยาออกจากใบสั่งยาแล้ว ยายังแสดงที่ใบ Mar,แนะนำ
732,ห้องพยาบาล,ขออนุญาตค่ะ ผลแลป เคสห้องคลอดผลแลปไม่ขึ้นค่ะ HN 0058926 นางสาวแสงดาว รัตนแสง,จากการตรวจสอบห้อง Lab ยังไม่ออกผล Lab นะคะ
733,ห้องพยาบาล,"อัพเดตระบบรอบหน้า พอจะช่วยแก้ไขไม่ให้ ""วันที่สั่งยา"" มีผลต่อการแสดงผลส่วนอื่นได้มั้ยคะ (ที่เคยมีปัญหา ก่อนหน้านี้ด้วย)",ส่วนนี้ทีมจะต้องหาสาเหตุก่อนค่ะ ว่าเกิดจากสาเหตุใดได้บ้างค่ะ เนื่องจากางทีมทดสอบกดที่ระบบทดสอบรายการวันที่มาแสดงปกติค่ะ
734,ห้องพยาบาล,แต่order ก็ยังอยู่ใช่ไหมคะ,"- หากลบรายการยาที่ current และใบสั่งยา รายการยาจะแสดงจะให้รับออเดอร์ใหม่ กรณียังไม่ยกเลิกคำสั่งแพทย์ค่ะ 
- หากลบที่ current และใบสั่งยาแล้ว และยกเลิกคำสั่งแพทย์รายการจะไม่แสดงที่หน้าใบออเดอร์ค่ะ"
735,ห้องพยาบาล,สอบถามคะเคสนี้หมอสรุปแล้วไม่ขึ้นลายเซ็นต์ของหมอที่สรุปคะแก้ไขไม่ได้คะ,ทีมตรวจสอบที่ผู้ดูแลระบบไม่พบลายเซ็นต์นะคะ หากแก้ไขเจ้าหน้าที่ท่านนี้จะต้อง log in เข้ามาแก้ไขค่ะ
736,ห้องพยาบาล,ขอสอบถามหน่อยค่ะ กรณีที่เรา keyอาหารในฟอร์มปรอท จะสามรถดึงข้อมูลมาหน้าอาหารเลยได้ำหมค่ะ,ระบบไม่สามารถดึงมาที่หน้าอาหารได้นะคะ
737,ห้องพยาบาล,เคสนี้แพทย์ order ยาซ้ำค่ะ เภสัชoff ยา เพราะยาซ้ำค่ะ,"1.ดับเบิ้ลคลิกรายการยา 
2.นำติ๊กจ่ายวันถัดไปออก 
3.บันทึก นะคะ มีตั้งจ่ายพรุ่งนี้ทำให้รายการยาไม่แสดงค่ะ"
738,ห้องพยาบาล,ฝากneo ลบค่าECGออกค่ะ ไม่มีทำ,ส่วนนี้ต้องเป็นผู้มีสิทธิ์ ลบรายการนะคะ
